filename,true,predicted,correct
sample_0_true_unknown_37.png,37,С.,False
sample_100_true_Н.png,Н,ЯйС,False
sample_101_true_В.png,В,2),False
sample_102_true_М.png,М,72,False
sample_103_true_unknown_48.png,48,х,False
sample_104_true_Р.png,Р,С,False
sample_105_true_С.png,С,Ч.,False
sample_106_true_Ъ.png,Ъ,5,False
sample_107_true_Х.png,Х,1,False
sample_108_true_Ъ.png,Ъ,О,False
sample_109_true_unknown_42.png,42,,False
sample_10_true_unknown_62.png,62,Ёс,False
sample_110_true_Ш.png,Ш,Га,False
sample_111_true_Ю.png,Ю,Л,False
sample_112_true_К.png,К,2,False
sample_113_true_Ю.png,Ю,“ХК,False
sample_114_true_Й.png,Й,Ё-,False
sample_115_true_Г.png,Г,2,False
sample_116_true_unknown_64.png,64,27,False
sample_117_true_Х.png,Х,ын»,False
sample_118_true_У.png,У,/д,False
sample_119_true_Ь.png,Ь,в,False
sample_11_true_unknown_65.png,65,ё,False
sample_120_true_unknown_37.png,37,С,False
sample_121_true_unknown_61.png,61,до,False
sample_122_true_unknown_45.png,45,/12,False
sample_123_true_unknown_39.png,39,Т,False
sample_124_true_С.png,С,Ё,False
sample_125_true_Б.png,Б,2,False
sample_126_true_Э.png,Э,0,False
sample_127_true_Ц.png,Ц,9722,False
sample_128_true_Я.png,Я,,False
sample_129_true_unknown_60.png,60,2,False
sample_12_true_Ы.png,Ы,0,False
sample_130_true_Ё.png,Ё,Т,False
sample_131_true_unknown_53.png,53,"12,",False
sample_132_true_unknown_37.png,37,С,False
sample_133_true_unknown_38.png,38,С»,False
sample_134_true_Е.png,Е,4,False
sample_135_true_У.png,У,1,False
sample_136_true_unknown_44.png,44,2,False
sample_137_true_Е.png,Е,6,False
sample_138_true_unknown_60.png,60,“Ж,False
sample_139_true_unknown_37.png,37,С,False
sample_13_true_Е.png,Е,Р,False
sample_140_true_unknown_39.png,39,|,False
sample_141_true_В.png,В,Ф,False
sample_142_true_Ъ.png,Ъ,49,False
sample_143_true_unknown_60.png,60,2,False
sample_144_true_unknown_44.png,44,2,False
sample_145_true_unknown_52.png,52,м,False
sample_146_true_Ш.png,Ш,|,False
sample_147_true_Х.png,Х,и.,False
sample_148_true_unknown_39.png,39,"""|",False
sample_149_true_unknown_63.png,63,12),False
sample_14_true_unknown_64.png,64,2),False
sample_150_true_unknown_53.png,53,ш,False
sample_151_true_Ф.png,Ф,Л.,False
sample_152_true_unknown_44.png,44,,False
sample_153_true_Ё.png,Ё,7,False
sample_154_true_unknown_65.png,65,Ж7,False
sample_155_true_Ш.png,Ш,2,False
sample_156_true_unknown_63.png,63,Жо,False
sample_157_true_Ц.png,Ц,Ж,False
sample_158_true_unknown_65.png,65,2.3,False
sample_159_true_unknown_52.png,52,Ч,False
sample_15_true_Й.png,Й,Е,False
sample_160_true_С.png,С,Цй,False
sample_161_true_Н.png,Н,ЛЕ.,False
sample_162_true_О.png,О,Ж-,False
sample_163_true_В.png,В,Т,False
sample_164_true_unknown_56.png,56,262,False
sample_165_true_Ж.png,Ж,“-,False
sample_166_true_В.png,В,2),False
sample_167_true_Ц.png,Ц,Л,False
sample_168_true_unknown_57.png,57,Е,False
sample_169_true_unknown_39.png,39,""")Ц",False
sample_16_true_unknown_46.png,46,(4,False
sample_170_true_Ь.png,Ь,27,False
sample_171_true_unknown_51.png,51,(7,False
sample_172_true_Р.png,Р,(24,False
